ACC_X,ACC_Y,ACC_Z,PPG
26512,30252,35092,12480
26212,30056,34988,12495
24972,29804,35456,12503
23324,29880,35544,12510
22268,30284,35772,12511
21896,30184,35880,12511
22712,30436,35640,12506
23868,31004,35408,12493
23092,30708,35124,12471
22412,30748,34688,12451
23304,31036,34620,12430
24640,31392,34456,12413
25360,31456,34436,12403
25892,31428,34120,12397
26404,31616,33800,12392
27268,31968,33524,12392
27640,31664,33688,12400
26844,31032,34004,12407
25060,30788,34196,12415
23784,30396,34064,12423
22960,30052,34384,12427
22568,30164,34524,12422
22872,30724,34820,12416
22348,30444,35456,12417
23488,31064,34652,12423
24052,30312,35344,12417
24624,29800,35156,12409
25084,29708,35180,12394
25908,29724,35216,12387
26076,29996,35016,12379
25880,29960,35012,12382
26068,30020,34732,12387
25680,29668,34944,12390
23700,29548,35208,12393
22752,30224,35176,12386
23124,30328,35280,12373
21708,29600,35660,12363
22572,30016,35100,12353
22916,30624,35016,12342
22816,31092,34540,12337
23308,31184,34344,12331
24364,31068,34192,12324
24896,31132,33676,12317
25072,31240,33432,12304
25548,31576,33208,12283
26364,31644,33356,12250
27168,31592,33420,12225
26568,31320,33664,12216
24884,31256,33996,12218
24400,31244,34224,12215
23428,30912,34524,12209
22392,30332,35204,12197
24680,30616,35768,12176
25292,31032,35948,12179
24084,31372,35456,12225
22944,31396,35212,12268
23320,30828,35652,12284
24976,30180,35444,12293
25768,29760,35280,12295
26020,29876,35124,12299
